src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label
192.168.0.89,239.255.255.250,61372,1900,17,2024-03-08 14:07:32,1001281.0,433.4447572659423,1.9974412777232364,1.9974412777232364,0.0,2,0,434,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,2,0,434,0,BENIGN
192.168.246.84,192.168.246.255,56972,51007,17,2024-03-08 14:07:32,7013544.0,79.56034780704306,0.42774380541421,0.42774380541421,0.0,3,0,558,0,186,186,186.0,0.0,0,0,0.0,0.0,186,186,186.0,0.0,0.0,24,0,8,3,3506772.0,3517118.0,3496426.0,10346.0,7013544.0,3517118.0,3496426.0,3506772.0,10346.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,186.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0,3,0,558,0,BENIGN
192.168.218.4,239.255.255.250,65158,1900,17,2024-03-08 14:07:33,1013332.0,428.2900372237333,1.9736868074826417,1.9736868074826417,0.0,2,0,434,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,2,0,434,0,BENIGN
192.168.0.77,239.255.255.250,65159,1900,17,2024-03-08 14:07:33,1013332.0,428.2900372237333,1.9736868074826417,1.9736868074826417,0.0,2,0,434,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,2,0,434,0,BENIGN
192.168.0.77,192.168.0.255,58741,50007,17,2024-03-08 14:07:33,4006777.0,84.85623232837766,0.4991543078139862,0.4991543078139862,0.0,2,0,340,0,170,170,170.0,0.0,0,0,0.0,0.0,170,170,170.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,170.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0,2,0,340,0,BENIGN
192.168.218.4,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999959.0,81.14333241094698,1.1428638367739012,1.1428638367739012,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999994.1428571428,1006257.0,997509.0,2902.334401751775,6999959.0,1006257.0,997509.0,999994.1428571428,2902.334401751775,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.0.77,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999797.0,81.14521035395741,1.1428902866754564,1.1428902866754564,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999971.0,1005519.0,997063.0,2754.417076002004,6999797.0,1005519.0,997063.0,999971.0,2754.4170760020043,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,1000061.0,5102.0,502581.5,497479.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.1.88,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999680.0,81.14656670019201,1.1429093901435494,1.1429093901435494,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999954.2857142856,1005213.0,996694.0,2685.073008546414,6999680.0,1005213.0,996694.0,999954.2857142856,2685.073008546396,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,1000250.0,5397.0,502823.5,497426.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.5.88,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999967.0,81.14323967527275,1.1428625306376443,1.1428625306376443,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999995.2857142856,1005281.0,997506.0,2561.1424746605185,6999967.0,1005281.0,997506.0,999995.2857142856,2561.142474660563,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.12.88,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999735.0,81.1459290958872,1.142900409801228,1.142900409801228,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999962.1428571428,1004877.0,997025.0,2499.040526086043,6999735.0,1004877.0,997025.0,999962.1428571428,2499.040526086045,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
