src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label
192.168.220.79,239.255.255.250,49241,1900,17,2024-03-13 08:41:41,0.0,0.0,0.0,0.0,0.0,2,0,315,0,179,136,157.5,21.5,0,0,0.0,0.0,179,136,157.5,21.5,462.25,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,157.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.5,0.0,0,2,0,315,0,BENIGN
169.254.178.22,255.255.255.255,1046,1046,17,2024-03-13 08:41:41,14998574.0,77.87406989491134,1.0667680807522102,1.0667680807522102,0.0,16,0,1168,0,73,73,73.0,0.0,0,0,0.0,0.0,73,73,73.0,0.0,0.0,128,0,8,16,999904.9333333332,1002954.0,997306.0,1521.2345629637646,14998574.0,1002954.0,997306.0,999904.9333333332,1521.2345629637398,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0,16,0,1168,0,BENIGN
192.168.246.78,255.255.255.255,1046,1046,17,2024-03-13 08:41:41,14998574.0,77.87406989491134,1.0667680807522102,1.0667680807522102,0.0,16,0,1168,0,73,73,73.0,0.0,0,0,0.0,0.0,73,73,73.0,0.0,0.0,128,0,8,16,999904.9333333332,1002954.0,997306.0,1517.2391359161402,14998574.0,1002954.0,997306.0,999904.9333333332,1517.239135916123,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0,16,0,1168,0,BENIGN
192.168.246.85,239.255.255.250,56496,3702,17,2024-03-13 08:41:41,13864239.0,500.56840480029234,0.721280122190623,0.721280122190623,0.0,10,0,6940,0,694,694,694.0,0.0,0,0,0.0,0.0,694,694,694.0,0.0,0.0,80,0,8,10,1540471.0,2754002.0,217472.0,808693.9581551643,13864239.0,2754002.0,217472.0,1540471.0,808693.9581551643,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,694.0,0,0,2536530.0,8434.0,1272482.0,1264048.0,2009446.0,197937.0,759771.8333333334,598032.4096862468,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,0,10,0,6940,0,BENIGN
192.168.218.24,239.255.255.250,58701,1900,17,2024-03-13 08:41:41,3021370.0,287.28689303196893,1.3239027328662163,1.3239027328662163,0.0,4,0,868,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1007123.3333333334,1015105.0,1002947.0,5645.922560180537,3021370.0,1015105.0,1002947.0,1007123.3333333334,5645.922560180508,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,4,0,868,0,BENIGN
192.168.1.229,239.255.255.250,49372,1900,17,2024-03-13 08:41:41,12062523.0,74.19674971811452,0.4145069816654442,0.4145069816654442,0.0,5,0,895,0,179,179,179.0,0.0,0,0,0.0,0.0,179,179,179.0,0.0,0.0,40,0,8,5,3015630.75,3028549.0,3009305.0,7777.287199756738,12062523.0,3028549.0,3009305.0,3015630.75,7777.287199756738,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,179.0,0,0,0.0,0.0,0.0,0.0,3009305.0,5161.0,1011236.6666666666,1412859.36578376,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0,5,0,895,0,BENIGN
192.168.248.244,239.255.255.250,49375,1900,17,2024-03-13 08:41:41,12071637.0,74.14073170026566,0.4141940318450596,0.4141940318450596,0.0,5,0,895,0,179,179,179.0,0.0,0,0,0.0,0.0,179,179,179.0,0.0,0.0,40,0,8,5,3017909.25,3079009.0,2954507.0,44163.63753346751,12071637.0,3079009.0,2954507.0,3017909.25,44163.63753346751,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,179.0,0,0,0.0,0.0,0.0,0.0,3014263.0,9595.0,1026336.3333333334,1405799.4549525508,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0,5,0,895,0,BENIGN
192.168.246.85,224.0.0.252,63071,5355,17,2024-03-13 08:41:42,0.0,0.0,0.0,0.0,0.0,1,0,88,0,88,88,88.0,0.0,0,0,0.0,0.0,88,88,88.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,88.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0,1,0,88,0,BENIGN
192.168.246.85,224.0.0.251,5353,5353,17,2024-03-13 08:41:42,2159047.0,377.018193675265,5.094840455071149,5.094840455071149,0.0,11,0,814,0,74,74,74.0,0.0,0,0,0.0,0.0,74,74,74.0,0.0,0.0,88,0,8,11,215904.7,1001570.0,0.0,394029.7118868196,2159047.0,1001570.0,0.0,215904.7,394029.7118868196,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,74.0,0,0,994097.0,992080.0,993088.5,1008.5,1001570.0,117994.0,703342.6666666666,413928.8441148094,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0,11,0,814,0,BENIGN
192.168.246.85,224.0.0.252,58383,5355,17,2024-03-13 08:41:42,411271.0,330.6822022462075,4.862973562444227,4.862973562444227,0.0,2,0,136,0,68,68,68.0,0.0,0,0,0.0,0.0,68,68,68.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0,2,0,136,0,BENIGN
192.168.246.85,224.0.0.252,62171,5355,17,2024-03-13 08:41:42,411271.0,330.6822022462075,4.862973562444227,4.862973562444227,0.0,2,0,136,0,68,68,68.0,0.0,0,0,0.0,0.0,68,68,68.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0,2,0,136,0,BENIGN
192.168.1.229,239.255.255.250,51099,1900,17,2024-03-13 08:41:43,3033366.0,286.1507645302281,1.318667117650821,1.318667117650821,0.0,4,0,868,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1011122.0,1015525.0,1006840.0,3546.6685776937206,3033366.0,1015525.0,1006840.0,1011122.0,3546.6685776937206,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,4,0,868,0,BENIGN
192.168.248.244,239.255.255.250,51102,1900,17,2024-03-13 08:41:43,3032681.0,286.2153981905779,1.3189649686201743,1.3189649686201743,0.0,4,0,868,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1010893.6666666666,1015428.0,1006039.0,3839.730054169028,3032681.0,1015428.0,1006039.0,1010893.6666666666,3839.730054169077,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,4,0,868,0,BENIGN
192.168.246.46,224.0.0.251,5353,5353,17,2024-03-13 08:41:43,1011578.0,272.8410463651839,3.9542180632635344,3.9542180632635344,0.0,4,0,276,0,69,69,69.0,0.0,0,0,0.0,0.0,69,69,69.0,0.0,0.0,32,0,8,4,337192.6666666667,1011578.0,0.0,476862.44233275024,1011578.0,1011578.0,0.0,337192.6666666667,476862.4423327504,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0,4,0,276,0,BENIGN
192.168.246.46,224.0.0.252,59277,5355,17,2024-03-13 08:41:43,418065.0,301.3885400595601,4.7839450803104775,4.7839450803104775,0.0,2,0,126,0,63,63,63.0,0.0,0,0,0.0,0.0,63,63,63.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,63.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0,2,0,126,0,BENIGN
192.168.246.46,224.0.0.252,51523,5355,17,2024-03-13 08:41:43,418065.0,301.3885400595601,4.7839450803104775,4.7839450803104775,0.0,2,0,126,0,63,63,63.0,0.0,0,0,0.0,0.0,63,63,63.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,63.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0,2,0,126,0,BENIGN
192.168.246.85,224.0.0.252,54820,5355,17,2024-03-13 08:41:43,0.0,0.0,0.0,0.0,0.0,1,0,88,0,88,88,88.0,0.0,0,0,0.0,0.0,88,88,88.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,88.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0,1,0,88,0,BENIGN
192.168.246.85,224.0.0.252,49412,5355,17,2024-03-13 08:41:43,423569.0,321.081098947279,4.721780866871749,4.721780866871749,0.0,2,0,136,0,68,68,68.0,0.0,0,0,0.0,0.0,68,68,68.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0,2,0,136,0,BENIGN
192.168.246.85,224.0.0.252,59230,5355,17,2024-03-13 08:41:43,422651.0,321.7784886348311,4.732036597571046,4.732036597571046,0.0,2,0,136,0,68,68,68.0,0.0,0,0,0.0,0.0,68,68,68.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0,2,0,136,0,BENIGN
0.0.0.0,255.255.255.255,68,67,17,2024-03-13 08:41:44,10327416.0,198.69442656323716,0.5809778554480618,0.5809778554480618,0.0,6,0,2052,0,342,342,342.0,0.0,0,0,0.0,0.0,342,342,342.0,0.0,0.0,48,0,8,6,2065483.2,7688656.0,90820.0,2943062.421011379,10327416.0,7688656.0,90820.0,2065483.2,2943062.421011379,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0.0,0.0,0.0,0.0,7597836.0,90820.0,3844328.0,3753508.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0,6,0,2052,0,BENIGN
192.168.246.26,255.255.255.255,67,68,17,2024-03-13 08:41:44,10327292.0,198.69681229116017,0.5809848312607022,0.5809848312607022,0.0,6,0,2052,0,342,342,342.0,0.0,0,0,0.0,0.0,342,342,342.0,0.0,0.0,48,0,8,6,2065458.4,7688656.0,90439.0,2943129.5878188303,10327292.0,7688656.0,90439.0,2065458.4,2943129.5878188303,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0.0,0.0,0.0,0.0,7598217.0,90439.0,3844328.0,3753889.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0,6,0,2052,0,BENIGN
192.168.246.46,192.168.246.255,137,137,17,2024-03-13 08:41:44,781285.0,235.5094491766769,2.559885317137792,2.559885317137792,0.0,2,0,184,0,92,92,92.0,0.0,0,0,0.0,0.0,92,92,92.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,2,0,184,0,BENIGN
