src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.218.4,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9001503.0,78.8757166442093,1.1109255865381593,1.1109255865381593,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000167.0,1013157.0,988198.0,7218.489561920524,9001503.0,1013157.0000000001,988198.0,1000167.0,7218.489561920548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,24959.0,17025.0,20992.0,3967.0,999399.0,9247.0,259857.25,426996.81354336534,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.0.77,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9002464.0,78.86729677563832,1.1108069968399763,1.1108069968399763,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000273.7777777778,1011921.0,988198.0,6901.747665592113,9002464.0,1011921.0000000001,988198.0,1000273.7777777778,6901.747665592136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,23723.0,16403.0,20063.0,3660.0,999399.0,9752.0,259519.0,427182.47786338336,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.1.88,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9002202.0,78.8695921286814,1.110839325756076,1.110839325756076,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000244.6666666666,1011804.0,988421.0,6838.34270045666,9002202.0,1011803.9999999999,988421.0,1000244.6666666666,6838.342700456637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,23383.0,16667.0,20025.0,3358.0,999274.0,11012.0,259875.5,426901.94026409625,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.5.88,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9002071.0,78.87073985530662,1.1108554909198116,1.1108554909198116,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000230.1111111111,1011205.0,988339.0,6607.371496954401,9002071.0,1011204.9999999999,988339.0,1000230.1111111111,6607.371496954398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,22866.0,15499.0,19182.5,3683.5,999305.0,10562.0,259622.0,427062.6577441535,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.12.88,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9001923.0,78.87203656374311,1.110873754418917,1.110873754418917,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000213.6666666666,1011282.0,988458.0,6642.909503121856,9001923.0,1011282.0,988458.0,1000213.6666666666,6642.909503121875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,22824.0,15857.0,19340.5,3483.5,999166.0,10879.0,259661.25,426960.1216925153,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.50.88,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9002083.0,78.87063471865345,1.1108540101218796,1.1108540101218796,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000231.4444444445,1011189.0,988475.0,6555.552508473868,9002083.0,1011188.9999999999,988475.0,1000231.4444444445,6555.5525084738465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,22714.0,15394.0,19054.0,3660.0,999513.0,10201.0,259601.75,427195.03546236054,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.60.88,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9001969.0,78.87163352817589,1.1108680778616322,1.1108680778616322,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000218.7777777778,1011364.0,988547.0,6612.8035872805585,9001969.0,1011363.9999999999,988547.0,1000218.7777777778,6612.803587280517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,22817.0,15673.0,19245.0,3572.0,999464.0,10440.0,259616.0,427159.08251200744,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.77.77,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9002269.0,78.86900513637173,1.1108310582587568,1.1108310582587568,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000252.1111111111,1011410.0,988343.0,6607.705072185627,9002269.0,1011409.9999999999,988343.0,1000252.1111111111,6607.705072185622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,23067.0,15339.0,19203.0,3864.0,999507.0,10101.0,259614.0,427185.38861833746,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.88.77,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9002205.0,78.8695658452568,1.1108389555669973,1.1108389555669973,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000245.0,1011589.0,988392.0,6648.752113492175,9002205.0,1011589.0000000001,988392.0,1000245.0,6648.752113492178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,23197.0,15448.0,19322.5,3874.5,999705.0,9929.0,259725.5,427236.1680906124,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.125.19,255.255.255.255,1046,1046,17,2024-03-08 14:04:16,9001825.0,78.87289521846958,1.110885848147459,1.110885848147459,0.0,10,0,710,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,80,0,8,10,1000202.7777777778,1011892.0,988097.0,6717.801505085455,9001825.0,1011892.0,988097.0,1000202.7777777778,6717.801505085472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,23795.0,15160.0,19477.5,4317.5,999604.0,9793.0,259748.75,427165.29044175334,0,0,0,0,0,0,71.0,0,0,10,0,710,0
192.168.218.4,192.168.218.255,58741,50007,17,2024-03-08 14:04:16,8014511.000000001,63.63457483557013,0.37432102844453014,0.37432102844453014,0.0,3,0,510,0,170,170,170.0,0.0,0,0,0,0.0,170,170,170.0,0.0,0.0,24,0,8,3,4007255.5,4007585.0,4006926.0,329.5,8014511.0,4007584.9999999995,4006926.0,4007255.5,329.49999999976717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0,0,0,3,0,510,0
192.168.246.84,192.168.246.255,56972,51007,17,2024-03-08 14:04:16,7009454.0,79.60677108373919,0.427993392923329,0.427993392923329,0.0,3,0,558,0,186,186,186.0,0.0,0,0,0,0.0,186,186,186.0,0.0,0.0,24,0,8,3,3504727.0,3562190.0,3447264.0,57463.0,7009454.0,3562190.0,3447264.0,3504727.0,57463.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,186.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.0,0,0,3,0,558,0
192.168.220.75,192.168.220.140,34532,256,6,2024-03-08 14:04:16,46.0,2478260.8695652173,43478.260869565216,21739.130434782608,21739.130434782608,1,1,60,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,57.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,54.0,0,1,1,60,54
192.168.220.75,192.168.220.140,34532,53,6,2024-03-08 14:04:16,60.0,1900000.0,33333.333333333336,16666.666666666668,16666.666666666668,1,1,60,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,57.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,54.0,0,1,1,60,54
192.168.220.75,192.168.220.140,34532,5900,6,2024-03-08 14:04:16,65.0,1753846.153846154,30769.230769230773,15384.615384615387,15384.615384615387,1,1,60,54,60,60,60.0,0.0,54,54,54.0,0.0,60,54,57.0,3.0,9.0,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,57.0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,54.0,0,1,1,60,54
