src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.218.82,239.255.255.250,65148,1900,17,2024-03-08 14:03:13,1005700.0,431.54022074177186,1.9886646117132345,1.9886646117132345,0.0,2,0,434,0,217,217,217.0,0.0,0,0,0,0.0,217,217,217.0,0.0,0.0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0,0,0,2,0,434,0
192.168.246.46,192.168.246.255,137,137,17,2024-03-08 14:03:13,0.0,0,0,0,0,1,0,92,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,1,0,92,0
192.168.218.4,255.255.255.255,1046,1046,17,2024-03-08 14:03:13,7013537.0,80.9862413216042,1.1406512862197775,1.1406512862197775,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1001933.8571428572,1013388.0,995850.0,5749.208800933803,7013537.0,1013388.0,995850.0,1001933.8571428572,5749.208800933815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,1013388.0,8552.0,510970.0,502418.0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.0.77,255.255.255.255,1046,1046,17,2024-03-08 14:03:13,7014269.0,80.97778970267608,1.140532249333466,1.140532249333466,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1002038.4285714285,1013388.0,996054.0,5759.83317856498,7014269.0,1013388.0,996054.0,1002038.4285714285,5759.833178564993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,1013388.0,9284.0,511336.0,502052.0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.1.88,255.255.255.255,1046,1046,17,2024-03-08 14:03:13,7013766.0,80.98359711458865,1.1406140438674457,1.1406140438674457,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1001966.5714285715,1012959.0,995929.0,5612.9786810097,7013766.0,1012959.0,995929.0,1001966.5714285715,5612.9786810097185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,1012959.0,9409.0,511184.0,501775.0,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.5.88,255.255.255.255,1046,1046,17,2024-03-08 14:03:13,7013938.0,80.98161118618386,1.1405860730448432,1.1405860730448432,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1001991.1428571428,1013355.0,995601.0,5832.754934201246,7013938.0,1013355.0,995601.0,1001991.1428571428,5832.754934201252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0,0,0,0,1013355.0,9794.0,511574.5,501780.5,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.12.88,255.255.255.255,1046,1046,17,2024-03-08 14:03:13,7013047.0,80.9918998118792,1.1407309832659043,1.1407309832659043,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1001863.8571428572,1012337.0,995481.0,5511.093783803497,7013047.0,1012337.0,995481.0,1001863.8571428572,5511.093783803497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,12565.0,9356.0,10960.5,1604.5,1012337.0,5065.0,342441.6666666667,473691.68471861054,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.50.88,255.255.255.255,1046,1046,17,2024-03-08 14:03:13,7012093.0,81.002918814682,1.140886180488479,1.140886180488479,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1001727.5714285715,1011512.0,995292.0,5401.867371755883,7012093.0,1011512.0,995292.0,1001727.5714285715,5401.867371755883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,11740.0,9925.0,10832.5,907.5,1011512.0,5445.0,342371.6666666667,473157.57936254406,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.60.88,255.255.255.255,1046,1046,17,2024-03-08 14:03:13,7011913.0,81.00499820804964,1.140915467719009,1.140915467719009,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1001701.8571428572,1010682.0,995255.0,5289.255022579035,7011913.0,1010682.0000000001,995255.0,1001701.8571428572,5289.255022579063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,10869.0,10113.0,10491.0,378.0,1010682.0,5555.0,342340.0,472593.9798734921,0,0,0,0,0,0,71.0,0,0,8,0,568,0
192.168.77.77,255.255.255.255,1046,1046,17,2024-03-08 14:03:13,7011273.0,81.01239247138145,1.141019612272978,1.141019612272978,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,1001610.4285714285,1010338.0,995158.0,5206.871993739012,7011273.0,1010338.0,995158.0,1001610.4285714285,5206.871993738999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,10683.0,10338.0,10510.5,172.5,1010338.0,5841.0,342277.6666666667,472394.078407942,0,0,0,0,0,0,71.0,0,0,8,0,568,0
