src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.246.46,239.255.255.250,58887,1900,17,2024-03-08 14:24:07,2031467.9999999998,318.9811505768243,1.476764586003816,1.476764586003816,0.0,3,0,648,0,216,216,216.0,0.0,0,0,0,0.0,216,216,216.0,0.0,0.0,24,0,8,3,1015734.0,1015792.0,1015676.0,58.0,2031468.0,1015792.0,1015676.0,1015734.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.0,0,0,3,0,648,0
192.168.1.132,239.255.255.250,59032,1900,17,2024-03-08 14:24:07,0.0,0,0,0,0,1,0,175,0,175,175,175.0,0.0,0,0,0,0.0,175,175,175.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,175.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,0,0,1,0,175,0
192.168.246.85,224.0.0.252,64033,5355,17,2024-03-08 14:24:07,0.0,0,0,0,0,1,0,68,0,68,68,68.0,0.0,0,0,0,0.0,68,68,68.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0,0,1,0,68,0
192.168.246.85,224.0.0.252,63218,5355,17,2024-03-08 14:24:07,0.0,0,0,0,0,1,0,68,0,68,68,68.0,0.0,0,0,0,0.0,68,68,68.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,0,0,1,0,68,0
192.168.1.132,192.168.1.255,137,137,17,2024-03-08 14:24:07,6818352.0,148.4229620295344,1.6132930655384174,1.6132930655384174,0.0,11,0,1012,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,88,0,8,11,681835.2,3027332.0,0.0,918897.5556606732,6818352.0,3027332.0,0.0,681835.2,918897.5556606732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,733909.0,718551.0,726230.0,7679.0,2262986.0,15572.0,1119948.0,836067.8126883608,0,0,0,0,0,0,92.0,0,0,11,0,1012,0
192.168.20.105,192.168.20.255,138,138,17,2024-03-08 14:24:07,0.0,0,0,0,0,1,0,234,0,234,234,234.0,0.0,0,0,0,0.0,234,234,234.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.0,0,0,1,0,234,0
192.168.246.22,192.168.246.255,138,138,17,2024-03-08 14:24:07,6307734.0,144.5844101859717,0.6341421499384724,0.6341421499384724,0.0,4,0,912,0,228,228,228.0,0.0,0,0,0,0.0,228,228,228.0,0.0,0.0,32,0,8,4,2102578.0,2452481.0,1916561.0,247583.6927142012,6307734.0,2452481.0,1916561.0,2102578.0,247583.6927142012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,228.0,0,0,0,0,0,0,1916561.0,22131.0,817493.6666666666,802659.5997645716,0,0,0,0,0,0,228.0,0,0,4,0,912,0
192.168.20.28,192.168.20.255,137,137,17,2024-03-08 14:24:07,1917502.0,95.95817892236879,1.0430236839387912,1.0430236839387912,0.0,2,0,184,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,16,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,2,0,184,0
192.168.20.131,192.168.20.255,137,137,17,2024-03-08 14:24:07,1917515.0,143.93629254529952,1.564524918970647,1.564524918970647,0.0,3,0,276,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,24,0,8,3,958757.5,1917346.0,169.0,958588.5,1917515.0,1917346.0,169.0,958757.5,958588.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,3,0,276,0
192.168.20.113,192.168.20.255,137,137,17,2024-03-08 14:24:07,3138552.0,117.25152235808106,1.2744730691095767,1.2744730691095767,0.0,4,0,368,0,92,92,92.0,0.0,0,0,0,0.0,92,92,92.0,0.0,0.0,32,0,8,4,1046184.0,1917726.0,296.0,792435.8426236579,3138552.0,1917726.0,296.0,1046184.0,792435.8426236579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,4,0,368,0
