src_ip,dst_ip,src_port,Destination Port,protocol,timestamp,Flow Duration,Flow Bytes/s,Flow Packets/s,Fwd Packets/s,Bwd Packets/s,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Max Packet Length,Min Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd Header Length,Bwd Header Length,min_seg_size_forward,act_data_pkt_fwd,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Total,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bulk Rate,Avg Fwd Segment Size,Avg Bwd Segment Size,CWE Flag Count,Subflow Fwd Packets,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Bwd Bytes,Label
192.168.0.89,239.255.255.250,61372,1900,17,2024-03-08 14:07:32,1001281.0,433.4447572659423,1.9974412777232364,1.9974412777232364,0.0,2,0,434,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,2,0,434,0,BENIGN
192.168.246.84,192.168.246.255,56972,51007,17,2024-03-08 14:07:32,7013544.0,79.56034780704306,0.42774380541421,0.42774380541421,0.0,3,0,558,0,186,186,186.0,0.0,0,0,0.0,0.0,186,186,186.0,0.0,0.0,24,0,8,3,3506772.0,3517118.0,3496426.0,10346.0,7013544.0,3517118.0,3496426.0,3506772.0,10346.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,186.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0,3,0,558,0,BENIGN
192.168.218.4,239.255.255.250,65158,1900,17,2024-03-08 14:07:33,1013332.0,428.2900372237333,1.9736868074826417,1.9736868074826417,0.0,2,0,434,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,2,0,434,0,BENIGN
192.168.0.77,239.255.255.250,65159,1900,17,2024-03-08 14:07:33,1013332.0,428.2900372237333,1.9736868074826417,1.9736868074826417,0.0,2,0,434,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,2,0,434,0,BENIGN
192.168.0.77,192.168.0.255,58741,50007,17,2024-03-08 14:07:33,4006777.0,84.85623232837766,0.4991543078139862,0.4991543078139862,0.0,2,0,340,0,170,170,170.0,0.0,0,0,0.0,0.0,170,170,170.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,170.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0,2,0,340,0,BENIGN
192.168.218.4,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999959.0,81.14333241094698,1.1428638367739012,1.1428638367739012,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999994.1428571428,1006257.0,997509.0,2902.334401751775,6999959.0,1006257.0,997509.0,999994.1428571428,2902.334401751775,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.0.77,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999797.0,81.14521035395741,1.1428902866754564,1.1428902866754564,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999971.0,1005519.0,997063.0,2754.417076002004,6999797.0,1005519.0,997063.0,999971.0,2754.4170760020043,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,1000061.0,5102.0,502581.5,497479.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.1.88,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999680.0,81.14656670019201,1.1429093901435494,1.1429093901435494,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999954.2857142856,1005213.0,996694.0,2685.073008546414,6999680.0,1005213.0,996694.0,999954.2857142856,2685.073008546396,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,1000250.0,5397.0,502823.5,497426.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.5.88,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999967.0,81.14323967527275,1.1428625306376443,1.1428625306376443,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999995.2857142856,1005281.0,997506.0,2561.1424746605185,6999967.0,1005281.0,997506.0,999995.2857142856,2561.142474660563,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
192.168.12.88,255.255.255.255,1046,1046,17,2024-03-08 14:07:33,6999735.0,81.1459290958872,1.142900409801228,1.142900409801228,0.0,8,0,568,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,64,0,8,8,999962.1428571428,1004877.0,997025.0,2499.040526086043,6999735.0,1004877.0,997025.0,999962.1428571428,2499.040526086045,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0,8,0,568,0,BENIGN
